"","book","release","chapter","page","chapter_num","page_num","n_code","n_lrn_q","n_lrn_item","lrn_auto","mcq","association","shorttext","clozeassociation","imageclozeassociation","sortlist","formulaV2","choicematrix","plaintext"
"759","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 8 - Digging Deeper into Group Models","8.3 Comparing the Fit of the Two- and Three-Group Models",8,3,1,7,2,7,7,0,0,0,0,0,0,0,0
"760","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 8 - Digging Deeper into Group Models","8.4 The F Ratio",8,4,0,11,5,11,11,0,0,0,0,0,0,0,0
"761","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 8 - Digging Deeper into Group Models","8.5 Modeling the DGP",8,5,1,3,2,3,3,0,0,0,0,0,0,0,0
"762","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 8 - Digging Deeper into Group Models","8.6 Using Shuffle to Compare Models of the DGP",8,6,2,2,2,1,1,0,0,0,0,0,0,0,1
"763","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 8 - Digging Deeper into Group Models","8.7 Measures of Effect Size",8,7,3,4,4,4,2,1,1,0,0,0,0,0,0
"764","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 8 - Digging Deeper into Group Models","8.8 Chapter 8 Review Questions",8,8,0,20,20,18,18,0,0,0,0,0,0,0,2
"765","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.1 Using a Quantitative Explanatory Variable in a Model",9,1,1,4,4,3,3,0,0,0,0,0,0,0,1
"766","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.2 Specifying the Height Model with GLM Notation",9,2,0,9,7,8,6,2,0,0,0,0,0,0,1
"767","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.3 Interpreting the Parameter Estimates for a Regression Model",9,3,1,6,5,6,6,0,0,0,0,0,0,0,0
"768","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.4 Comparing Regression Models to Group Models",9,4,1,3,2,1,1,0,0,0,0,0,0,0,2
"769","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.5 Error from the Height Model",9,5,1,7,5,5,4,1,0,0,0,0,0,0,2
"770","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.6 Sums of Squares in the ANOVA Table",9,6,1,7,4,7,6,1,0,0,0,0,0,0,0
"771","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.7 Assessing Model Fit with PRE and F",9,7,0,14,6,13,12,1,0,0,0,0,0,0,1
"772","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.8 Correlation",9,8,4,8,6,8,8,0,0,0,0,0,0,0,0
"773","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.9 More on Pearson's R",9,9,2,6,4,3,3,0,0,0,0,0,0,0,3
"774","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.10 Using Shuffle to Interpret the Slope of a Regression Line",9,10,2,3,3,2,2,0,0,0,0,0,0,0,1
"775","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind",9,11,0,2,2,0,0,0,0,0,0,0,0,0,2
